Source,Target,Type,id,weight
1251.0,20811.0,Directed,11831,8.0
1275.0,8195.0,Directed,12025,7.0
1473.0,6467.0,Directed,14114,11.0
1473.0,4451.0,Directed,14135,29.0
1473.0,14174.0,Directed,14137,12.0
1473.0,9850.0,Directed,14167,9.0
1590.0,2230.0,Directed,15746,7.0
1590.0,7151.0,Directed,15804,10.0
1647.0,20114.0,Directed,16430,13.0
1647.0,4451.0,Directed,16432,11.0
1647.0,10252.0,Directed,16485,11.0
1647.0,5910.0,Directed,16506,15.0
1647.0,14174.0,Directed,16515,17.0
1647.0,19146.0,Directed,16522,35.0
1647.0,7598.0,Directed,16527,14.0
1647.0,17940.0,Directed,16529,12.0
1647.0,16811.0,Directed,16562,7.0
1647.0,12833.0,Directed,16575,8.0
1647.0,1860.0,Directed,16582,9.0
1720.0,15987.0,Directed,17146,11.0
1720.0,19893.0,Directed,17175,11.0
1720.0,9085.0,Directed,17179,9.0
1720.0,115.0,Directed,17202,8.0
1720.0,17599.0,Directed,17204,18.0
1720.0,18776.0,Directed,17206,8.0
1720.0,2101.0,Directed,17209,14.0
1720.0,8087.0,Directed,17244,10.0
1720.0,13438.0,Directed,17253,9.0
1720.0,21509.0,Directed,17258,12.0
1720.0,2853.0,Directed,17287,18.0
1720.0,1720.0,Directed,17324,55.0
1720.0,25294.0,Directed,17334,27.0
1720.0,14174.0,Directed,17353,10.0
1720.0,22045.0,Directed,17372,18.0
1720.0,10357.0,Directed,17375,11.0
1720.0,20722.0,Directed,17388,18.0
1720.0,16881.0,Directed,17390,9.0
1720.0,1086.0,Directed,17399,11.0
1853.0,15476.0,Directed,18870,9.0
1853.0,2230.0,Directed,18920,9.0
1853.0,10526.0,Directed,18925,10.0
1853.0,24171.0,Directed,18931,7.0
1853.0,5910.0,Directed,18933,10.0
1853.0,19019.0,Directed,18936,7.0
1860.0,19583.0,Directed,19119,14.0
1860.0,20811.0,Directed,19144,7.0
1860.0,5721.0,Directed,19207,7.0
1860.0,18825.0,Directed,19216,7.0
1860.0,592.0,Directed,19428,13.0
1860.0,18245.0,Directed,19573,8.0
1860.0,277.0,Directed,19578,7.0
1860.0,1086.0,Directed,19583,8.0
1860.0,12141.0,Directed,19596,8.0
1860.0,14305.0,Directed,19644,9.0
1860.0,13438.0,Directed,19658,10.0
1860.0,11403.0,Directed,19712,9.0
1860.0,5212.0,Directed,19716,21.0
2101.0,20991.0,Directed,21900,10.0
2101.0,4586.0,Directed,21910,25.0
2101.0,23122.0,Directed,21942,29.0
2101.0,14174.0,Directed,21952,10.0
2101.0,845.0,Directed,21953,13.0
2101.0,16422.0,Directed,21955,10.0
2101.0,19146.0,Directed,21957,29.0
2101.0,1720.0,Directed,21961,17.0
2101.0,9220.0,Directed,21973,9.0
2101.0,21265.0,Directed,22005,17.0
2115.0,19583.0,Directed,22096,8.0
2115.0,10357.0,Directed,22242,10.0
2115.0,9085.0,Directed,22268,7.0
2174.0,97.0,Directed,22778,10.0
2174.0,7321.0,Directed,22898,14.0
2174.0,11585.0,Directed,22970,7.0
2174.0,18526.0,Directed,22981,13.0
2174.0,22652.0,Directed,23000,7.0
2174.0,15973.0,Directed,23034,7.0
2230.0,19184.0,Directed,23463,14.0
2230.0,6467.0,Directed,23469,9.0
2230.0,14761.0,Directed,23479,7.0
2230.0,4451.0,Directed,23480,21.0
2230.0,19583.0,Directed,23483,28.0
2230.0,16817.0,Directed,23495,7.0
2230.0,18825.0,Directed,23496,11.0
2230.0,20811.0,Directed,23505,15.0
2230.0,18806.0,Directed,23549,31.0
2230.0,17238.0,Directed,23558,8.0
2230.0,2437.0,Directed,23560,16.0
2230.0,8940.0,Directed,23564,10.0
2230.0,5721.0,Directed,23571,7.0
2230.0,8557.0,Directed,23618,13.0
2230.0,97.0,Directed,23644,7.0
2230.0,8579.0,Directed,23653,14.0
2230.0,4165.0,Directed,23654,8.0
2230.0,8993.0,Directed,23657,8.0
2230.0,121.0,Directed,23691,12.0
2230.0,18526.0,Directed,23764,33.0
2230.0,2558.0,Directed,23775,7.0
